plate_num,temperature_deg_c,time_h,scale_mol,stirring_shaking,concentration_mol_l,startingmat_1_name,startingmat_1_eq,startingmat_2_name,startingmat_2_eq,reagent_1_cas,reagent_1_name,reagent_1_smiles,reagent_1_eq,reagent_2_cas,reagent_2_name,reagent_2_smiles,reagent_2_eq,catalyst_cas,catalyst_name,catalyst_smiles,catalyst_eq,ligand_cas,ligand_name,ligand_eq,solvent_1_cas,solvent_1_name,solvent_1_smiles,solvent_1_fraction,product_1_area,selectivity_area
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,7778-53-2,K3PO4,[K].OP(O)(O)=O,2.4,,none,,,12012-95-2,[Pd(allyl)Cl]2,[CH2-]C=C.[CH2-]C=C.Cl[Pd+].Cl[Pd+],0.02,819867-21-5,tBuSPhos,0.04,123-92-2,isoamyl acetate,CC(C)CCOC(=O)C,1,0.816,1.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,7778-53-2,K3PO4,[K].OP(O)(O)=O,2.4,,none,,,51364-51-3,[Pd2(dba)3],C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.02,819867-21-5,tBuSPhos,0.04,109-60-4,n-propyl acetate,CCCOC(=O)C,1,0.300,0.763
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,80-70-6,Tetramethylguanidine,CN(C)C(=N)N(C)C,2.4,,none,,,12012-95-2,[Pd(allyl)Cl]2,[CH2-]C=C.[CH2-]C=C.Cl[Pd+].Cl[Pd+],0.02,1262046-34-3,RockPhos,0.04,100-66-3,anisole,COC1=CC=CC=C1,1,0.279,0.719
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,7778-53-2,K3PO4,[K].OP(O)(O)=O,1.2,127-08-02,KOAc,CC(=O)[O-].[K+],1.2,51364-51-3,[Pd2(dba)3],C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.02,2489243-29-8,Gphos,0.04,100-66-3,anisole,COC1=CC=CC=C1,1,0.208,0.825
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,127-08-02,KOAc,CC(=O)[O-].[K+],1.2,6674-22-2,DBU,C1CCC2=NCCCN2CC1,1.2,12012-95-2,[Pd(allyl)Cl]2,[CH2-]C=C.[CH2-]C=C.Cl[Pd+].Cl[Pd+],0.02,224311-49-3,tBuDavePhos,0.04,100-66-3,anisole,COC1=CC=CC=C1,1,0.110,1.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,6674-22-2,DBU,C1CCC2=NCCCN2CC1,2.4,,none,,,12012-95-2,[Pd(allyl)Cl]2,[CH2-]C=C.[CH2-]C=C.Cl[Pd+].Cl[Pd+],0.02,1160861-53-9,tBuBrettPhos,0.04,123-92-2,isoamyl acetate,CC(C)CCOC(=O)C,1,0.104,0.740
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,127-08-02,KOAc,CC(=O)[O-].[K+],1.2,6674-22-2,DBU,C1CCC2=NCCCN2CC1,1.2,51364-51-3,[Pd2(dba)3],C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.02,1160861-59-5,AdBrettPhos,0.04,109-60-4,n-propyl acetate,CCCOC(=O)C,1,0.102,0.348
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,7778-53-2,K3PO4,[K].OP(O)(O)=O,1.2,127-08-02,KOAc,CC(=O)[O-].[K+],1.2,12012-95-2,[Pd(allyl)Cl]2,[CH2-]C=C.[CH2-]C=C.Cl[Pd+].Cl[Pd+],0.02,1262046-33-2,CyRockPhos,0.04,107-12-0,propionitrile,CCC#N,1,0.099,0.572
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,6674-22-2,DBU,C1CCC2=NCCCN2CC1,2.4,,none,,,51364-51-3,[Pd2(dba)3],C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.02,819867-21-5,tBuSPhos,0.04,109-60-4,n-propyl acetate,CCCOC(=O)C,1,0.080,0.345
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,6674-22-2,DBU,C1CCC2=NCCCN2CC1,2.4,,none,,,51364-51-3,[Pd2(dba)3],C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.02,1160861-53-9,tBuBrettPhos,0.04,107-12-0,propionitrile,CCC#N,1,0.078,0.346
