plate_num,temperature_deg_c,time_h,scale_mol,stirring_shaking,concentration_mol_l,startingmat_1_name,startingmat_1_eq,startingmat_2_name,startingmat_2_eq,reagent_1_cas,reagent_1_name,reagent_1_smiles,reagent_1_eq,catalyst_cas,catalyst_name,catalyst_smiles,catalyst_eq,ligand_cas,ligand_name,ligand_eq,solvent_1_cas,solvent_1_name,solvent_1_smiles,solvent_1_fraction,solvent_2_cas,solvent_2_name,solvent_2_smiles,solvent_2_fraction,product_1_area%,selectivity_area%
1,70,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,534-17-8,Cs2CO3,[Cs+].[Cs+].[O-]C([O-])=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,672937-63-2,cataCXium POMeCy,0.05,75-85-4,tAmOH,CCC(C)(C)O,0.75,7732-18-5,water,O,0.25,0.5835271144,0.7924079658
1,70,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,7778-53-2,K3PO4,[K].OP(O)(O)=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,395116-70-8,cataCXium ABn,0.05,96-47-9,MeTHF,CC1CCCO1,0.75,67-56-1,MeOH,CO,0.25,0.5352466036,0.5786040138
1,70,18,7.50E-05,st_400,0.417,ArBr,1,RBPin,1.5,7778-53-2,K3PO4,[K].OP(O)(O)=O,2,40759-64-6,[Ni(COD)(DQ)],CC1=C(C)C(C(C)=C(C)C1=O)=O.C2=C\CC/C=C\CC/2.[Ni],0.025,1308652-66-5,EtPhenCar-Phos,0.05,75-85-4,tAmOH,CCC(C)(C)O,1,,none,,,0.3954406495,0.6079400103
1,70,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,7778-53-2,K3PO4,[K].OP(O)(O)=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,947402-57-5,NPCy2-Phendolephos,0.05,78-93-3,MEK,CCC(C)=O,0.75,67-56-1,MeOH,CO,0.25,0.3430746148,0.3678480262
1,70,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,7778-53-2,K3PO4,[K].OP(O)(O)=O,2,1702744-45-3,[Ni(oTol)(Cl)(TMEDA)],CC1=CC=CC=C1[Ni]Cl.CN(C)CCN(C)C,0.025,247940-06-3,CyJohnPhos,0.05,80-73-9,DMI,CN1CCN(C)C1=O,0.75,7732-18-5,water,O,0.25,0.3133927616,0.4489841628
1,70,18,7.50E-05,st_400,0.417,ArBr,1,RBPin,1.5,7778-53-2,K3PO4,[K].OP(O)(O)=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,657408-07-6,SPhos,0.05,67-63-0,iPrOH,CC(C)O,1,,none,,,0.3110780954,0.3110780954
1,100,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,534-17-8,Cs2CO3,[Cs+].[Cs+].[O-]C([O-])=O,2,1702744-45-3,[Ni(oTol)(Cl)(TMEDA)],CC1=CC=CC=C1[Ni]Cl.CN(C)CCN(C)C,0.025,855-38-9,P(4-OMe-C6H4)3,0.05,75-85-4,tAmOH,CCC(C)(C)O,0.75,7732-18-5,water,O,0.25,0.2827550516,0.6589635848
1,70,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,7778-53-2,K3PO4,[K].OP(O)(O)=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,1067883-58-2,CM-Phos,0.05,108-88-3,PhMe,Cc1ccccc1,0.75,67-56-1,MeOH,CO,0.25,0.2744805543,0.3147705532
1,70,18,7.50E-05,st_400,0.417,ArBr,1,RBPin,1.5,7778-53-2,K3PO4,[K].OP(O)(O)=O,2,40759-64-6,[Ni(COD)(DQ)],CC1=C(C)C(C(C)=C(C)C1=O)=O.C2=C\CC/C=C\CC/2.[Ni],0.025,672937-63-2,cataCXium POMeCy,0.05,78-93-3,MEK,CCC(C)=O,1,,none,,,0.2052381356,0.4538439965
1,70,18,7.50E-05,st_400,0.417,ArBr,1,RBPin,1.5,7778-53-2,K3PO4,[K].OP(O)(O)=O,2,40759-64-6,[Ni(COD)(DQ)],CC1=C(C)C(C(C)=C(C)C1=O)=O.C2=C\CC/C=C\CC/2.[Ni],0.025,564483-18-7,XPhos,0.05,141-78-6,EtOAc,CCOC(C)=O,1,,none,,,0.1912655359,0.5007297738
1,100,18,7.50E-05,st_400,0.417,ArBr,1,RBPin,1.5,7778-53-2,K3PO4,[K].OP(O)(O)=O,2,1702744-45-3,[Ni(oTol)(Cl)(TMEDA)],CC1=CC=CC=C1[Ni]Cl.CN(C)CCN(C)C,0.025,1067175-36-3,Amidolephos,0.05,105-58-8,DEC,O=C(OCC)OCC,1,,none,,,0.1583524474,0.4106674242
1,70,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,7087-68-5,DIPEA,CCN(C(C)C)C(C)C,2,1702744-45-3,[Ni(oTol)(Cl)(TMEDA)],CC1=CC=CC=C1[Ni]Cl.CN(C)CCN(C)C,0.025,6372-42-5,CyPPh2,0.05,75-85-4,tAmOH,CCC(C)(C)O,0.75,7732-18-5,water,O,0.25,0.1388876987,0.5109729674
1,70,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,7778-53-2,K3PO4,[K].OP(O)(O)=O,2,27057-09-6,[Ni(oTol)(Cl)(PPh3)2],Cl[Ni]C1=CC=CC=C1C.P(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.P(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,0.025,1070663-78-3,BrettPhos,0.05,108-88-3,PhMe,Cc1ccccc1,0.75,7732-18-5,water,O,0.25,0.1348229745,0.2660867394
1,70,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,7778-53-2,K3PO4,[K].OP(O)(O)=O,2,1702744-45-3,[Ni(oTol)(Cl)(TMEDA)],CC1=CC=CC=C1[Ni]Cl.CN(C)CCN(C)C,0.025,91608-15-0,"P(2,4,6-TriMeO)3",0.05,141-78-6,EtOAc,CCOC(C)=O,0.75,7732-18-5,water,O,0.25,0.1327522055,0.2360253385
1,70,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,7087-68-5,DIPEA,CCN(C(C)C)C(C)C,2,40759-64-6,[Ni(COD)(DQ)],CC1=C(C)C(C(C)=C(C)C1=O)=O.C2=C\CC/C=C\CC/2.[Ni],0.025,1067883-58-2,CM-Phos,0.05,75-05-8,MeCN,CC#N,0.75,67-56-1,MeOH,CO,0.25,0.121666604,0.2046455916
1,70,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,6674-22-2,DBU,C1CCN2CCCN=C2CC1,2,40759-64-6,[Ni(COD)(DQ)],CC1=C(C)C(C(C)=C(C)C1=O)=O.C2=C\CC/C=C\CC/2.[Ni],0.025,897665-73-5,PAd3,0.05,108-88-3,PhMe,Cc1ccccc1,0.75,67-56-1,MeOH,CO,0.25,0.1016359536,0.2037549641
1,100,18,7.50E-05,st_400,0.417,ArBr,1,RBPin,1.5,534-17-8,Cs2CO3,[Cs+].[Cs+].[O-]C([O-])=O,2,40759-64-6,[Ni(COD)(DQ)],CC1=C(C)C(C(C)=C(C)C1=O)=O.C2=C\CC/C=C\CC/2.[Ni],0.025,1160556-64-8,CPhos,0.05,105-58-8,DEC,O=C(OCC)OCC,1,,none,,,0.1010958319,0.2911372756
1,70,18,7.50E-05,st_400,0.417,ArBr,1,RBPin,1.5,7778-53-2,K3PO4,[K].OP(O)(O)=O,2,1702744-45-3,[Ni(oTol)(Cl)(TMEDA)],CC1=CC=CC=C1[Ni]Cl.CN(C)CCN(C)C,0.025,6002-34-2,PtBuPh2,0.05,78-93-3,MEK,CCC(C)=O,1,,none,,,0.1003432227,0.2471134074
1,100,18,7.50E-05,st_400,0.313,ArBr,1,RBPin,1.5,7778-53-2,K3PO4,[K].OP(O)(O)=O,2,7791-20-0,NiCl2.6H2O,[H]O[H].[H]O[H].[H]O[H].[H]O[H].[H]O[H].[H]O[H].Cl[Ni]Cl,0.025,6372-42-5,CyPPh2,0.05,105-58-8,DEC,O=C(OCC)OCC,0.75,67-56-1,MeOH,CO,0.25,0.09484364684,0.1737899771
